,Real classes,KNN,Logistic Regression,Decision Tree,Random Forest,SVM,GNBC,BNBC
4896,4,4,4,4,4,4,4,4
4897,5,5,5,5,5,5,5,5
4898,3,3,3,3,3,3,3,3
4899,9,9,9,9,9,9,9,9
4900,0,0,0,0,0,0,0,0
4901,0,0,0,0,0,0,0,0
4902,0,0,0,0,0,0,9,0
4903,0,0,0,0,0,0,0,0
4904,9,9,9,9,9,9,9,9
4905,5,5,5,5,5,5,5,5
4906,6,6,6,6,6,6,6,6
4907,7,7,7,7,7,7,7,7
4908,1,1,1,1,1,1,0,1
4909,5,5,5,5,5,5,5,5
4910,1,1,1,1,1,1,1,1
4911,7,7,7,7,7,7,7,7
4912,8,8,8,8,8,8,0,0
4913,2,6,2,2,2,2,6,6
4914,0,0,0,0,0,0,8,8
4915,8,8,8,8,8,8,8,8
4916,0,0,0,0,0,0,0,0
4917,9,9,9,9,9,9,9,9
4918,7,7,7,7,7,7,7,7
4919,4,4,4,4,4,4,4,4
4920,7,4,7,7,7,7,4,4
4921,3,3,3,3,3,3,3,3
4922,2,2,2,2,2,2,2,2
4923,6,6,6,6,6,6,6,6
4924,0,0,0,0,0,0,0,0
4925,8,8,8,8,8,8,8,8
4926,6,6,6,6,6,6,6,6
4927,7,7,7,7,7,7,7,3
4928,9,9,9,9,9,9,9,9
4929,1,1,1,1,1,1,1,1
4930,9,9,9,9,9,9,9,9
4931,6,6,6,6,6,6,6,6
4932,8,8,8,8,8,8,8,8
4933,9,9,9,9,9,9,9,9
4934,2,2,2,2,2,2,2,2
4935,3,3,3,3,3,3,3,3
4936,4,4,4,4,4,4,4,4
4937,8,1,1,8,8,1,1,1
4938,0,0,0,0,0,0,0,0
4939,1,1,1,1,1,1,1,1
4940,4,4,4,4,4,4,4,4
4941,7,4,7,7,7,4,4,4
4942,3,3,3,3,3,3,3,3
4943,6,6,6,6,6,6,6,6
4944,6,6,6,6,6,6,4,4
4945,2,2,2,2,2,2,2,2
4946,8,8,8,8,8,8,8,8
4947,0,0,0,0,0,0,0,0
4948,5,5,5,5,5,5,5,5
4949,0,0,0,0,0,0,0,0
4950,9,9,9,9,9,9,9,9
4951,7,7,7,7,7,7,0,0
4952,1,1,1,1,1,1,1,1
4953,9,9,9,9,9,9,9,9
4954,8,8,8,8,8,8,8,8
4955,5,3,5,5,5,5,3,3
4956,6,6,6,6,6,6,6,6
4957,0,0,0,0,0,0,0,0
4958,7,5,7,7,7,7,5,5
4959,5,5,5,5,5,5,5,5
4960,2,2,2,2,2,2,2,2
4961,5,5,5,5,5,5,5,5
4962,7,7,7,7,7,7,7,7
4963,2,2,2,2,2,2,2,2
4964,5,5,5,5,5,5,5,5
4965,8,8,8,8,8,8,0,0
4966,5,5,5,5,5,5,5,5
4967,6,6,6,6,6,6,6,6
4968,4,4,4,4,4,4,4,4
4969,4,4,4,4,4,7,7,7
4970,2,2,2,2,2,2,2,2
4971,4,4,4,4,4,4,4,4
4972,1,1,1,1,1,1,1,1
4973,9,9,9,9,9,9,9,9
4974,4,4,4,4,4,4,4,4
4975,5,5,5,5,5,5,5,5
4976,6,6,6,6,6,6,3,6
4977,4,4,4,4,4,4,4,4
4978,5,5,5,5,5,5,5,5
4979,3,3,3,3,3,3,3,3
4980,7,5,7,7,7,7,5,5
4981,7,7,7,7,7,7,7,7
4982,5,5,5,5,5,5,5,5
4983,7,7,7,7,7,7,7,7
4984,6,6,6,6,6,6,6,3
4985,0,0,0,0,0,0,0,0
4986,4,4,4,4,4,4,4,4
4987,2,2,2,2,2,2,2,2
4988,7,7,7,7,7,7,7,7
4989,1,1,1,1,1,1,1,1
4990,7,7,7,7,7,7,7,7
4991,2,2,2,2,2,2,3,3
4992,2,2,2,2,2,2,2,2
4993,9,9,9,9,9,9,9,9
4994,0,0,0,0,0,0,0,0
4995,8,8,8,8,8,8,8,8
4996,1,1,1,1,1,1,1,1
4997,3,3,3,3,3,3,3,3
4998,2,2,2,2,2,2,2,2
4999,9,9,9,9,9,9,9,9
5000,9,9,9,9,9,9,9,9
5001,5,5,5,5,5,5,5,5
5002,6,6,6,6,6,6,6,6
5003,8,8,8,8,8,8,8,8
5004,9,9,9,9,9,9,9,9
5005,2,2,2,2,2,2,2,2
5006,6,6,6,6,6,6,3,3
5007,2,2,2,2,2,2,2,2
5008,0,0,0,0,0,0,0,0
5009,9,9,9,9,9,9,9,9
5010,4,4,4,4,4,4,4,3
5011,3,3,3,3,3,3,3,3
5012,2,2,2,2,2,2,2,2
5013,9,9,9,9,9,9,9,9
5014,3,5,5,3,3,3,5,5
5015,2,2,2,2,2,2,2,2
5016,3,3,3,3,3,3,3,3
5017,8,8,8,8,8,8,8,8
5018,6,3,6,6,6,6,6,6
5019,7,7,7,7,7,7,3,3
5020,6,5,6,6,6,6,5,5
5021,2,2,2,2,2,2,2,2
5022,4,4,4,4,4,4,7,7
5023,1,1,1,1,1,1,1,1
5024,5,5,5,5,5,5,3,3
5025,5,5,5,5,5,5,5,5
5026,1,1,1,1,1,1,1,1
5027,0,0,0,0,0,0,0,0
5028,1,1,1,1,1,1,1,1
5029,4,4,4,4,4,4,4,4
5030,9,9,9,9,9,9,9,9
5031,3,3,3,3,3,3,3,3
5032,0,0,0,0,0,0,0,0
5033,2,2,2,2,2,2,2,7
5034,6,6,6,6,6,6,6,6
5035,3,3,3,3,3,3,3,3
5036,2,2,2,2,2,2,2,2
5037,1,1,1,1,1,1,0,1
5038,8,8,8,8,8,8,8,8
5039,7,7,7,7,7,7,7,7
5040,7,7,7,7,7,7,7,7
5041,5,5,5,5,5,5,5,5
5042,7,7,7,7,7,7,7,7
5043,7,7,7,7,7,7,7,7
5044,5,5,5,5,5,5,5,5
5045,0,0,0,0,0,0,0,0
5046,7,7,7,7,7,7,7,7
5047,1,1,1,1,1,1,9,9
5048,3,3,3,3,3,3,3,3
5049,1,1,1,1,1,1,1,1
5050,8,8,8,8,8,8,8,8
5051,2,2,2,2,2,2,2,2
5052,1,1,1,1,1,1,1,1
5053,2,2,2,2,2,2,2,2
5054,4,4,4,4,4,4,4,4
5055,0,0,0,0,0,0,0,0
5056,8,8,8,8,8,8,3,0
5057,2,2,2,2,2,2,2,2
5058,3,8,3,3,3,3,3,3
5059,4,4,4,4,4,4,4,4
5060,6,6,6,6,6,6,6,6
5061,4,4,4,4,4,4,4,4
5062,9,9,9,9,9,9,9,9
5063,7,7,7,7,7,7,7,7
5064,1,1,1,1,1,1,1,1
5065,0,0,0,0,0,0,0,0
5066,4,4,4,4,4,4,4,4
5067,7,4,7,7,7,7,4,4
5068,8,8,8,8,8,8,8,8
5069,6,6,6,6,6,6,6,6
5070,1,1,1,1,1,1,1,1
5071,3,3,3,3,3,3,3,3
5072,0,0,0,0,0,0,0,0
5073,0,0,0,0,0,0,0,0
5074,2,2,2,2,2,2,2,2
5075,4,4,4,4,4,4,4,4
5076,0,0,0,0,0,0,0,0
5077,3,3,3,3,3,3,3,3
5078,6,6,6,6,6,6,6,6
5079,1,1,1,1,1,1,1,1
5080,2,2,2,2,2,2,2,2
5081,9,9,9,9,9,9,9,9
5082,5,5,5,5,5,5,5,5
5083,3,6,3,3,3,3,3,3
5084,7,4,7,7,7,7,4,4
5085,4,4,4,4,4,4,4,4
5086,3,3,3,3,3,3,3,3
5087,6,6,6,6,6,6,4,4
5088,7,7,7,7,7,7,7,7
5089,8,3,8,8,8,8,3,3
5090,7,7,7,7,7,7,7,7
5091,8,0,8,8,8,0,0,0
5092,5,5,5,5,5,5,5,5
5093,6,6,6,6,6,6,6,6
5094,7,7,7,7,7,7,7,7
5095,4,4,4,4,4,4,4,4
5096,1,1,1,1,1,1,1,1
5097,8,8,8,8,8,8,8,8
5098,6,6,6,6,6,6,6,6
5099,8,8,8,8,8,8,8,8
5100,5,5,5,5,5,5,5,5
5101,8,8,8,8,8,8,8,8
5102,2,2,2,2,2,2,2,2
5103,5,5,5,5,5,5,5,5
5104,5,5,5,5,5,5,5,5
5105,2,2,2,2,2,2,2,2
5106,1,1,1,1,1,1,1,1
5107,0,0,0,0,0,0,0,0
5108,2,2,2,2,2,2,2,2
5109,3,3,3,3,3,3,3,3
5110,2,2,2,2,2,2,2,2
5111,4,4,4,4,4,4,4,4
5112,0,0,0,0,0,0,0,0
5113,5,5,5,5,5,5,5,5
5114,2,2,2,2,2,2,2,2
5115,7,5,7,7,7,7,7,7
5116,2,2,2,2,2,2,2,2
5117,1,1,1,1,1,1,1,1
5118,2,2,2,2,2,2,2,2
5119,1,1,1,1,1,1,1,1
5120,3,3,3,3,3,3,3,3
5121,8,8,8,8,8,8,8,8
5122,4,4,4,4,4,4,4,4
5123,3,3,3,3,3,3,3,3
5124,6,6,6,6,6,6,6,6
5125,2,2,2,2,2,2,7,7
5126,1,1,1,1,1,1,1,1
5127,2,6,2,2,2,6,6,6
5128,5,5,5,5,5,5,3,3
5129,8,8,8,8,8,8,8,8
5130,0,0,0,0,0,0,0,0
5131,9,9,9,9,9,9,9,9
5132,5,5,5,5,5,5,5,5
5133,8,8,8,8,8,8,8,8
5134,8,8,8,8,8,8,8,8
5135,5,3,5,5,5,5,5,5
5136,6,6,6,6,6,6,6,6
5137,5,5,5,5,5,5,5,5
5138,2,2,2,2,2,2,2,2
5139,3,3,3,3,3,3,3,3
5140,3,3,3,3,3,3,4,3
5141,4,4,4,4,4,4,4,4
5142,4,4,4,4,4,4,3,3
5143,6,6,6,6,6,6,6,6
5144,8,8,8,8,8,8,8,8
5145,1,1,1,1,1,1,1,1
5146,4,4,4,4,4,4,4,4
5147,5,3,3,5,5,3,3,3
5148,8,8,8,8,8,8,0,3
5149,4,4,4,4,4,4,4,4
5150,5,5,5,5,5,5,5,5
5151,8,8,8,8,8,8,8,8
5152,3,3,3,3,3,3,3,3
5153,2,2,2,2,2,2,2,2
5154,4,9,4,4,4,4,3,3
5155,3,3,5,3,3,5,5,5
5156,7,7,7,7,7,7,7,7
5157,7,7,7,7,7,7,3,7
5158,5,5,5,5,5,5,3,3
5159,3,3,3,3,3,3,3,3
5160,4,4,4,4,4,4,4,4
5161,8,8,8,8,8,8,8,8
5162,5,5,5,5,5,5,5,5
5163,6,6,6,6,6,6,6,6
5164,2,2,2,2,2,2,2,2
5165,8,8,8,8,8,8,8,8
5166,3,3,3,3,3,3,3,3
5167,1,1,1,1,1,1,3,1
5168,7,7,7,7,7,7,7,7
5169,1,1,1,1,1,1,1,1
5170,7,7,7,7,7,7,7,7
5171,6,6,6,6,6,6,6,6
5172,3,3,3,3,3,3,3,3
5173,7,7,7,7,7,7,7,7
5174,8,8,8,8,8,8,8,8
5175,1,1,1,1,1,1,1,1
5176,5,5,5,5,5,5,5,3
5177,0,0,0,0,0,0,0,0
5178,5,5,5,5,5,5,5,5
5179,8,8,8,8,8,8,8,8
5180,0,0,0,0,0,0,0,4
5181,8,8,8,8,8,8,8,8
5182,2,2,2,2,2,2,2,2
5183,3,3,3,3,3,3,3,3
5184,6,6,6,6,6,6,6,6
5185,8,8,8,8,8,8,8,8
5186,9,9,9,9,9,9,9,9
5187,0,0,0,0,0,0,8,0
5188,9,9,9,9,9,9,9,9
5189,4,2,4,4,4,4,7,7
5190,6,6,6,6,6,6,6,6
5191,4,4,4,4,4,4,4,4
5192,5,5,5,5,5,5,5,5
5193,6,6,6,6,6,6,6,6
5194,7,7,7,7,7,7,7,3
5195,7,7,7,7,7,7,0,0
5196,0,7,0,0,0,0,0,0
5197,7,7,7,7,7,7,7,7
5198,0,0,0,0,0,0,0,0
5199,9,9,9,9,9,9,9,9
5200,5,5,5,5,5,5,5,5
5201,8,8,8,8,8,8,8,8
5202,1,1,1,1,1,1,1,1
5203,5,5,5,5,5,5,5,5
5204,2,2,2,2,2,2,2,2
5205,2,2,2,2,2,2,2,2
5206,3,0,3,3,3,3,3,3
5207,2,2,2,2,2,2,2,2
5208,0,0,0,0,0,0,0,0
5209,2,2,2,2,2,2,2,2
5210,0,8,0,0,0,0,0,8
5211,3,3,3,3,3,3,5,3
5212,0,0,0,0,0,0,0,0
5213,0,0,0,0,0,0,0,0
5214,7,7,7,7,7,7,7,7
5215,9,9,9,9,9,9,3,3
5216,0,0,0,0,0,0,0,0
5217,8,8,8,8,8,8,8,8
5218,5,5,5,5,5,5,5,5
5219,0,0,0,0,0,0,0,0
5220,9,9,9,9,9,9,9,9
5221,0,0,0,0,0,0,9,9
5222,5,5,5,5,5,5,5,5
5223,3,3,3,3,3,3,3,3
5224,8,8,8,8,8,8,8,8
5225,2,2,2,2,2,2,2,2
5226,1,1,1,1,1,1,1,1
5227,5,5,5,5,5,5,5,5
5228,7,7,7,7,7,7,7,7
5229,0,0,0,0,0,0,0,0
5230,3,3,3,3,3,3,3,3
5231,4,4,4,4,4,4,4,4
5232,9,9,9,9,9,9,9,9
5233,9,9,9,9,9,9,9,9
5234,3,3,3,3,3,3,3,3
5235,8,8,8,8,8,8,8,8
5236,3,3,3,3,3,3,3,3
5237,9,9,9,9,9,9,9,9
5238,4,4,4,4,4,4,4,4
5239,9,9,9,9,9,9,9,9
5240,4,4,4,4,4,4,4,4
5241,6,6,6,6,6,6,6,6
5242,4,4,4,4,4,4,3,3
5243,1,1,1,1,1,1,1,1
5244,1,1,1,1,1,1,9,9
5245,5,5,5,5,5,5,5,5
5246,3,3,3,3,3,3,3,3
5247,4,4,4,4,4,4,4,4
5248,9,9,9,9,9,9,9,9
5249,5,7,5,5,5,7,7,7
5250,8,8,8,8,8,8,8,8
5251,2,2,2,2,2,2,2,2
5252,2,2,2,2,2,2,2,2
5253,4,4,4,4,4,4,4,4
5254,6,6,6,6,6,6,6,6
5255,2,2,2,2,2,2,2,2
5256,8,8,8,8,8,8,8,8
5257,4,4,4,4,4,4,4,4
5258,9,9,9,9,9,9,9,9
5259,1,1,1,1,1,1,9,1
5260,8,8,8,8,8,8,8,8
5261,7,4,4,7,7,4,4,4
5262,9,9,9,9,9,9,9,9
5263,0,0,0,0,0,0,0,0
5264,9,9,9,9,9,9,9,9
5265,5,5,5,5,5,5,5,5
5266,2,2,2,2,2,2,2,2
5267,2,2,2,2,2,2,2,2
5268,9,9,9,9,9,9,9,9
5269,6,6,6,6,6,6,6,6
5270,0,0,0,0,0,0,0,0
5271,7,7,7,7,7,7,7,0
5272,5,5,5,5,5,5,5,5
5273,6,6,6,6,6,6,6,6
5274,1,1,1,1,1,1,1,1
5275,5,5,5,5,5,5,5,5
5276,0,0,0,0,0,0,0,0
5277,5,5,5,5,5,5,5,5
5278,1,1,1,1,1,1,1,1
5279,5,5,5,5,5,5,5,5
5280,0,0,0,0,0,8,8,0
5281,5,5,5,5,5,5,5,5
5282,8,8,8,8,8,8,8,8
5283,4,4,4,4,4,4,4,4
5284,2,2,2,2,2,2,2,2
5285,3,3,3,3,3,3,3,3
5286,9,9,9,9,9,9,9,9
5287,3,3,3,3,3,3,3,3
5288,0,0,0,0,0,0,0,0
5289,6,6,6,6,6,6,6,6
5290,8,8,8,8,8,8,0,0
5291,7,7,7,7,7,7,7,7
5292,6,6,6,6,6,6,6,6
5293,1,1,1,1,1,1,1,1
5294,7,7,7,7,7,7,7,7
5295,9,9,9,9,9,9,9,9
5296,4,4,4,4,4,4,4,4
5297,9,9,9,9,9,9,9,9
5298,7,7,7,7,7,7,7,7
5299,4,4,4,4,4,4,4,4
5300,2,2,2,2,2,2,2,2
5301,9,9,9,9,9,9,9,9
5302,6,6,6,6,6,6,0,6
5303,4,4,4,4,4,4,4,4
5304,9,9,9,9,9,9,9,9
5305,6,6,6,6,6,6,6,6
5306,9,9,9,9,9,9,9,9
5307,3,3,3,3,3,3,3,3
5308,7,7,7,7,7,7,3,3
5309,1,1,1,1,1,1,1,1
5310,7,3,7,7,7,7,3,3
5311,9,9,9,9,9,9,9,9
5312,5,5,5,5,5,5,5,5
5313,7,7,7,7,7,7,7,7
5314,1,1,1,1,1,1,1,1
5315,2,2,2,2,2,2,2,2
5316,2,2,2,2,2,2,2,2
5317,2,2,2,2,2,2,2,2
5318,3,5,3,3,3,3,3,3
5319,3,3,3,3,3,3,3,3
5320,3,3,3,3,3,3,3,3
5321,7,7,7,7,7,7,3,3
5322,2,2,2,2,2,2,2,2
5323,8,8,8,8,8,8,8,8
5324,9,9,9,9,9,9,9,9
5325,7,7,7,7,7,7,7,7
5326,8,8,8,8,8,8,8,8
5327,8,8,8,8,8,8,8,8
5328,5,5,5,5,5,5,5,5
5329,9,9,9,9,9,9,9,9
5330,5,5,5,5,5,5,3,3
5331,6,6,6,6,6,6,6,6
5332,6,6,6,6,6,6,2,2
5333,1,1,1,1,1,1,1,1
5334,4,4,4,4,4,4,4,4
5335,3,3,3,3,3,3,3,3
5336,6,6,6,6,6,6,6,6
5337,1,1,1,1,1,1,1,1
5338,4,4,4,4,4,4,4,4
5339,6,6,6,6,6,6,6,6
5340,5,5,5,5,5,5,5,5
5341,0,0,0,0,0,0,0,0
5342,4,4,4,4,4,4,4,4
5343,4,4,4,4,4,4,4,4
5344,6,6,6,6,6,6,6,6
5345,9,9,9,9,9,9,9,9
5346,6,6,6,6,6,6,3,3
5347,0,0,0,0,0,0,0,0
5348,7,7,7,7,7,7,7,7
5349,6,5,6,6,6,6,5,5
5350,6,6,6,6,6,6,6,6
5351,3,3,3,3,3,3,3,3
5352,2,2,2,2,2,2,2,2
5353,5,5,5,5,5,5,5,5
5354,4,4,4,4,4,4,4,4
5355,5,4,3,5,5,4,4,4
5356,1,1,1,1,1,1,1,1
5357,3,3,3,3,3,3,3,3
5358,8,8,8,8,8,8,8,8
5359,9,9,9,9,9,9,9,9
5360,3,3,3,3,3,3,3,3
5361,6,6,6,6,6,6,6,6
5362,2,2,2,2,2,2,2,2
5363,7,7,7,7,7,7,7,7
5364,9,9,9,9,9,9,9,9
5365,8,8,8,8,8,8,0,0
5366,4,4,4,4,4,4,4,4
5367,3,3,3,3,3,3,3,3
5368,8,8,8,8,8,8,8,8
5369,0,0,0,0,0,0,0,0
5370,0,0,0,0,0,0,7,0
5371,0,0,0,0,0,0,0,0
5372,6,6,6,6,6,6,6,6
5373,2,2,2,2,2,2,2,3
5374,0,4,0,0,0,0,2,4
5375,1,1,1,1,1,1,1,1
5376,6,6,6,6,6,6,6,6
5377,2,6,2,2,2,2,2,2
5378,9,9,9,9,9,9,9,9
5379,0,0,0,0,0,0,0,0
5380,2,2,2,2,2,2,2,2
5381,7,7,7,7,7,7,7,7
5382,2,2,2,2,2,2,2,2
5383,7,7,7,7,7,7,7,7
5384,8,8,8,8,8,8,8,8
5385,8,8,8,8,8,8,8,8
5386,3,3,3,3,3,3,3,3
5387,6,6,6,6,6,6,6,6
5388,3,3,3,3,3,3,3,3
5389,4,4,4,4,4,4,3,3
5390,2,2,2,2,2,2,2,2
5391,2,2,2,2,2,2,2,2
5392,2,2,2,2,2,2,2,2
5393,7,7,7,7,7,7,7,7
5394,1,1,1,1,1,1,1,1
5395,2,2,2,2,2,2,2,2
5396,2,2,2,2,2,2,2,7
5397,3,5,3,3,3,3,5,5
5398,4,4,4,4,4,4,4,4
5399,9,9,9,9,9,9,9,9
5400,1,1,1,1,1,1,1,1
5401,3,3,3,3,3,3,3,3
5402,1,1,1,1,1,1,1,1
5403,0,0,0,0,0,0,0,0
5404,3,3,3,3,3,3,3,3
5405,6,6,6,6,6,6,6,6
5406,5,5,5,5,5,5,5,5
5407,2,2,2,2,2,2,2,2
5408,8,8,8,8,8,8,8,8
5409,8,8,8,8,8,8,8,8
5410,1,1,1,1,1,1,1,1
5411,6,6,6,6,6,6,6,6
5412,2,2,2,2,2,2,2,2
5413,7,7,7,7,7,7,7,7
5414,1,1,1,1,1,1,1,1
5415,8,8,8,8,8,8,8,8
5416,9,9,9,9,9,9,9,9
5417,7,7,7,7,7,7,7,7
5418,0,0,0,0,0,0,0,0
5419,6,6,6,6,6,6,6,6
5420,5,3,5,5,5,5,5,5
5421,2,2,2,2,2,2,3,3
5422,4,0,4,4,4,4,0,0
5423,8,8,8,8,8,8,8,8
5424,7,7,7,7,7,7,7,7
5425,4,4,4,4,4,4,4,4
5426,6,6,6,6,6,6,6,6
5427,9,9,9,9,9,9,9,9
5428,0,0,0,0,0,0,0,0
5429,5,5,5,5,5,5,5,5
5430,8,8,8,8,8,8,0,0
5431,8,8,8,8,8,8,8,8
5432,2,6,2,2,2,2,2,2
5433,2,2,2,2,2,2,2,3
5434,5,5,5,5,5,5,5,5
5435,5,5,5,5,5,5,5,5
5436,5,5,5,5,5,5,5,5
5437,3,3,3,3,3,3,3,3
5438,3,9,3,3,3,3,0,3
5439,4,4,4,4,4,4,4,4
5440,9,9,9,9,9,9,9,9
5441,3,3,3,3,3,3,3,3
5442,7,7,7,7,7,7,7,7
5443,3,3,3,3,3,3,3,3
5444,8,8,8,8,8,8,8,8
5445,9,9,9,9,9,9,3,3
5446,5,5,5,5,5,5,5,5
5447,6,6,6,6,6,6,6,6
5448,5,3,3,5,5,3,3,3
5449,1,1,1,1,1,1,1,1
5450,0,0,0,0,0,0,0,0
5451,7,7,7,7,7,7,7,7
5452,9,9,9,9,9,9,9,9
5453,5,5,5,5,5,5,5,5
5454,6,6,6,6,6,6,6,2
5455,4,4,4,4,4,4,4,4
5456,7,7,7,7,7,7,7,7
5457,3,3,3,3,3,3,3,3
5458,3,3,3,3,3,3,3,3
5459,1,1,1,1,1,1,1,1
5460,8,8,8,8,8,8,8,8
5461,7,7,7,7,7,7,7,7
5462,9,9,9,9,9,9,9,9
5463,4,4,4,4,4,4,4,4
5464,4,4,4,4,4,4,4,4
5465,4,4,4,4,4,4,4,4
5466,1,1,1,1,1,1,1,1
5467,4,4,4,4,4,4,4,4
5468,3,3,3,3,3,3,3,3
5469,3,3,3,3,3,3,3,3
5470,2,2,2,2,2,2,2,2
5471,0,0,0,0,0,0,0,0
5472,1,1,1,1,1,1,1,1
5473,4,4,4,4,4,4,4,4
5474,3,3,3,3,3,3,3,3
5475,3,3,3,3,3,3,3,3
5476,2,2,2,2,2,2,2,3
5477,9,9,9,9,9,9,9,9
5478,3,3,3,3,3,3,3,3
5479,7,7,7,7,7,7,7,7
5480,8,8,8,8,8,8,8,8
5481,8,8,8,8,8,8,8,8
5482,5,7,5,5,5,7,7,7
5483,4,4,4,4,4,4,4,4
5484,8,0,8,8,8,8,0,0
5485,7,7,7,7,7,7,7,7
5486,1,1,1,1,1,1,1,1
5487,6,6,6,6,6,6,6,6
5488,5,5,5,5,5,5,5,5
5489,7,5,7,7,7,7,5,5
5490,1,1,1,1,1,1,1,1
5491,2,2,2,2,2,2,2,2
5492,9,9,9,9,9,9,9,9
5493,2,2,2,2,2,2,2,2
5494,2,2,2,2,2,2,2,2
5495,6,6,6,6,6,6,6,6
5496,1,1,1,1,1,1,1,1
5497,9,9,9,9,9,9,9,9
5498,2,2,2,2,2,2,2,2
5499,1,1,1,1,1,1,1,1
5500,3,3,3,3,3,3,3,3
5501,4,4,4,4,4,4,4,4
5502,8,8,8,8,8,8,8,8
5503,9,9,9,9,9,9,1,9
5504,7,4,7,7,7,7,7,7
5505,5,5,5,5,5,5,5,5
5506,0,0,0,0,0,0,0,0
5507,9,9,9,9,9,9,9,9
5508,1,1,1,1,1,1,1,1
5509,0,0,0,0,0,0,0,0
5510,8,8,8,8,8,8,8,8
5511,9,9,9,9,9,9,9,9
5512,3,3,3,3,3,3,3,3
5513,8,8,8,8,8,8,8,8
5514,2,2,2,2,2,2,2,2
5515,6,6,6,6,6,6,6,6
5516,4,4,4,4,4,4,4,4
5517,3,3,3,3,3,3,3,3
5518,2,2,2,2,2,2,2,2
5519,9,9,9,9,9,9,9,9
5520,8,8,8,8,8,8,8,8
5521,5,5,5,5,5,5,5,5
5522,2,2,2,2,2,2,2,2
5523,6,6,6,6,6,6,6,6
5524,2,2,2,2,2,2,2,2
5525,3,3,3,3,3,3,3,3
5526,2,6,2,2,2,6,6,6
5527,6,6,6,6,6,6,6,6
5528,7,7,7,7,7,7,7,7
5529,9,9,9,9,9,9,9,9
5530,1,1,1,1,1,1,1,1
5531,7,3,7,7,7,3,3,3
5532,7,7,7,7,7,7,7,7
5533,7,7,7,7,7,7,7,7
5534,3,3,3,3,3,3,3,3
5535,9,9,9,9,9,9,9,9
5536,2,2,2,2,2,2,2,2
5537,2,3,2,2,2,2,3,3
5538,3,3,3,3,3,3,3,3
5539,9,1,9,9,9,1,1,1
5540,1,1,1,1,1,1,1,1
5541,8,8,8,8,8,8,8,8
5542,0,0,0,0,0,0,0,0
5543,3,0,3,3,3,3,3,3
5544,7,7,7,7,7,7,7,7
5545,8,8,8,8,8,8,8,8
5546,9,9,9,9,9,9,9,9
5547,6,6,6,6,6,6,6,6
5548,9,0,9,9,9,9,9,9
5549,0,0,0,0,0,0,0,0
5550,1,1,1,1,1,1,1,1
5551,6,6,6,6,6,6,6,6
5552,7,7,7,7,7,7,7,7
5553,1,1,1,1,1,1,1,1
5554,3,3,3,3,3,3,3,3
5555,5,5,5,5,5,5,5,5
5556,8,8,8,8,8,8,8,8
5557,7,7,7,7,7,7,3,0
5558,1,1,1,1,1,1,1,1
5559,7,7,7,7,7,7,7,7
5560,4,4,4,4,4,4,4,4
5561,5,5,5,5,5,5,5,5
5562,1,1,1,1,1,1,1,1
5563,3,5,5,3,3,3,5,5
5564,8,8,8,8,8,8,8,8
5565,3,0,0,3,3,0,0,0
5566,3,3,3,3,3,3,3,3
5567,1,1,1,1,1,1,1,1
5568,4,4,3,4,4,3,3,3
5569,3,3,3,3,3,3,3,3
5570,3,3,3,3,3,3,3,3
5571,8,8,8,8,8,8,8,8
5572,1,1,1,1,1,1,1,1
5573,2,2,2,2,2,2,2,2
5574,8,8,8,8,8,8,8,8
5575,8,8,8,8,8,8,8,8
5576,6,6,6,6,6,6,6,6
5577,1,1,1,1,1,1,1,1
5578,8,8,8,8,8,8,8,8
5579,1,1,1,1,1,1,1,1
5580,1,1,1,1,1,1,1,1
5581,4,4,4,4,4,4,4,4
5582,5,5,5,5,5,5,5,5
5583,7,7,7,7,7,7,7,7
5584,0,0,0,0,0,0,0,0
5585,9,9,9,9,9,9,9,9
5586,8,8,8,8,8,8,8,8
5587,0,0,0,0,0,0,0,0
5588,0,0,0,0,0,0,0,0
5589,6,6,6,6,6,6,6,6
5590,1,1,1,1,1,1,1,1
5591,4,3,4,4,4,7,3,2
5592,0,0,0,0,0,0,8,0
5593,8,8,8,8,8,8,8,8
5594,6,6,6,6,6,6,6,6
5595,2,6,2,2,2,2,6,6
5596,6,6,6,6,6,6,6,6
5597,7,7,7,7,7,7,7,7
5598,4,4,4,4,4,4,4,4
5599,4,4,4,4,4,4,2,7
5600,9,9,9,9,9,9,9,9
5601,8,8,8,8,8,8,8,8
5602,3,3,3,3,3,3,3,3
5603,4,4,4,4,4,4,4,4
5604,5,5,5,5,5,5,5,5
5605,0,0,0,0,0,0,0,0
5606,0,0,0,0,0,0,0,0
5607,0,0,0,0,0,0,0,0
5608,5,5,5,5,5,5,5,5
5609,0,0,0,0,0,0,0,0
5610,3,5,3,3,3,3,5,5
5611,1,1,1,1,1,1,1,1
5612,6,6,6,6,6,6,6,6
5613,9,9,9,9,9,9,9,9
5614,5,5,5,5,5,5,5,5
5615,2,2,2,2,2,2,2,2
5616,8,8,8,8,8,8,8,8
5617,6,6,6,6,6,6,6,6
5618,8,8,8,8,8,8,8,8
5619,5,5,5,5,5,5,5,5
5620,5,5,5,5,5,5,5,5
5621,6,6,6,6,6,6,6,6
5622,3,6,3,3,3,3,3,4
5623,5,5,5,5,5,5,5,5
5624,3,3,3,3,3,3,3,3
5625,6,6,6,6,6,6,6,6
5626,8,8,8,8,8,8,8,8
5627,8,8,8,8,8,8,8,8
5628,2,2,2,2,2,2,2,2
5629,7,7,7,7,7,7,7,7
